PrimeType,Prime,CompanionType,CompanionPrime,Digits,Attempts,UTC Timestamp,SHA256
Sophie,363943629546947281958586117971229736495790050459041275550950703689466487161489218694628757576820305454981528812184764536708699529789693062700972981423,Safe,727887259093894563917172235942459472991580100918082551101901407378932974322978437389257515153640610909963057624369529073417399059579386125401945962847,150,137282,2025-08-04 11:26:13 UTC,26c1d7283da1b62055280450049af47eecb69d5f6f9328e153ad421ee3f4207b
Safe,345490917580732385972906921699797457477370349673006699210962845762926883552444363475791986950499509314243852657268861965523410190064089208802050387567,Sophie,172745458790366192986453460849898728738685174836503349605481422881463441776222181737895993475249754657121926328634430982761705095032044604401025193783,150,142182,2025-08-04 11:26:13 UTC,8b1b3c0285ca56b87b9ed06f217df8f86899e4cae508369fa387416838441dcb
Sophie,712615577040059133711673853978629490567141573327174910261027223272437875763147983763376625013224885606264167266983490384779690405633200863114165742089,Safe,1425231154080118267423347707957258981134283146654349820522054446544875751526295967526753250026449771212528334533966980769559380811266401726228331484179,150,139921,2025-08-04 11:26:13 UTC,f1716d3bafb12008b4434932bb3a2d46a97c9556cb4f1e9adcc0bb08e818df4e
Safe,615985207114808093434507254013956923503586881587380866908521776112362809113908162362075468629939790051749960601046849892624819846710505523053935917707,Sophie,307992603557404046717253627006978461751793440793690433454260888056181404556954081181037734314969895025874980300523424946312409923355252761526967958853,150,145832,2025-08-04 11:26:14 UTC,38e6591ebd045ac32724ec0705d78bac2e6c9f40fe69af4ceb452e45b635e974
Sophie,770962682852908620906226965423992821660105918028375662243725718439607829757223283398524788247839932107748835570550389061115575132773802143657223913269,Safe,1541925365705817241812453930847985643320211836056751324487451436879215659514446566797049576495679864215497671141100778122231150265547604287314447826539,150,155146,2025-08-04 11:26:14 UTC,2b37660b02115e77bb21f9eb6ed27df32894b0d96f0c6f0193cf59ccfc5f6242
Sophie,762865848213988802105780587011916854935935203986559826923759638599418876520756231550326230325045108781804507782597222015748353979439045544027303506333,Safe,1525731696427977604211561174023833709871870407973119653847519277198837753041512463100652460650090217563609015565194444031496707958878091088054607012667,150,157466,2025-08-04 11:26:14 UTC,eb2df2727584cf5ac11e3c80559c2de180c69c06abf283f44d26317711ec3e68
Sophie,554632888873629991078394076909072324210178592886923095050436473163753114518692076613228651000511269732184787186496714161318669084228091416516087169451,Safe,1109265777747259982156788153818144648420357185773846190100872946327506229037384153226457302001022539464369574372993428322637338168456182833032174338903,150,158024,2025-08-04 11:26:14 UTC,20d27cac29339c447dd9eaf0db6bc44aaa6dc2a4456befcc234b92d45df7cb21
Sophie,350601978288571103484546934036642594264198781848355421888923620715298013359859243149602227454303562947721166332967836004196594411700424822727473895969,Safe,701203956577142206969093868073285188528397563696710843777847241430596026719718486299204454908607125895442332665935672008393188823400849645454947791939,150,158653,2025-08-04 11:26:15 UTC,04fc3e43bedfff01e0c05fff0ac6c9e15825f99c207c9ab404c5d511711ae087
Sophie,269994124927482571582471610736868319309349855908705280999636262324896856851071692929000267505589982954392457518088902272588319518420000806360312020411,Safe,539988249854965143164943221473736638618699711817410561999272524649793713702143385858000535011179965908784915036177804545176639036840001612720624040823,150,161644,2025-08-04 11:26:15 UTC,bb2d2ae307063a3bcfb6b7ac212ca81e9763a0f52e94dbaf4ec259fe8931e819
Safe,621623684493071122448309950048482358649649551401258406982441307441081112508870497107539232645166333720078049529483351793602699087292684726515120250567,Sophie,310811842246535561224154975024241179324824775700629203491220653720540556254435248553769616322583166860039024764741675896801349543646342363257560125283,150,160877,2025-08-04 11:26:15 UTC,ce1f5b0d6b95a5c095c65b58abd99b22cdac6338ded9cf3995d41c7c488d3264
Safe,577270323343998902574651152258668864643253230236260475487298270346535484269499437746380747361805975781733613867676785980225580596832796652577037159167,Sophie,288635161671999451287325576129334432321626615118130237743649135173267742134749718873190373680902987890866806933838392990112790298416398326288518579583,150,165059,2025-08-04 11:26:15 UTC,d3882b6fb63fe5a959aff0dd64182462fc059a9ad17ef642cd14266b4e33d13e
Sophie,692233464151950773026970544962284227241054681381202053911224405941095088480917821705799632863634636509046866152948991157794609515604087328792583290519,Safe,1384466928303901546053941089924568454482109362762404107822448811882190176961835643411599265727269273018093732305897982315589219031208174657585166581039,150,162532,2025-08-04 11:26:15 UTC,352a733fa39eb07d40afaddfb16e57100e1d39d183a53431a9d70fe42bc50a5e
Safe,300062136998069719437230931115390787328524156372270057020623510842631351900528722166927636618270370678702783651628259066833744113744738812988954140623,Sophie,150031068499034859718615465557695393664262078186135028510311755421315675950264361083463818309135185339351391825814129533416872056872369406494477070311,150,166665,2025-08-04 11:26:15 UTC,e31a4cd557d1640ccfaefaa976162e3c38965f6c8873bca210be81aa2ea3b815
Safe,376623975507802794491632036445350148025373655253567405549962445394971304108238053357189469316830765399205328620382771805626495322392133257777898736023,Sophie,188311987753901397245816018222675074012686827626783702774981222697485652054119026678594734658415382699602664310191385902813247661196066628888949368011,150,169742,2025-08-04 11:26:15 UTC,42223bdd37a8e70be6dce0c62cb1f96d21c5966a8a3ff7a13eadcb4dfe5a874a
Safe,340202808703180911481677704902852302422277545279754379084515495419391266534365900186849457776773682033424539161122363344928934735097814394199880949407,Sophie,170101404351590455740838852451426151211138772639877189542257747709695633267182950093424728888386841016712269580561181672464467367548907197099940474703,150,172048,2025-08-04 11:26:15 UTC,7339d35cdceb1f494c78a3cc26b6d69d77b8a072691b3b323862e055b2dc98ac
Sophie,629245699441829211784820896193913215545999434642347646487791451524611782846098609922307291358652048399574725164059278580799708989614593610661889714191,Safe,1258491398883658423569641792387826431091998869284695292975582903049223565692197219844614582717304096799149450328118557161599417979229187221323779428383,150,177628,2025-08-04 11:26:15 UTC,70b47a3a3e5cd1b0fb2fb37a948792877ec1d9c05084b7518fe571775b8891aa
Sophie,663080857040221726490918062615483669627794380356867489672312071879077150155898190671750148857049431083826556100681977473678277400769985610416295357121,Safe,1326161714080443452981836125230967339255588760713734979344624143758154300311796381343500297714098862167653112201363954947356554801539971220832590714243,150,178884,2025-08-04 11:26:15 UTC,eea90a8254bc955cba02490e449ee2809524e63924ee8a4b9cbe5f4068c7dbc9
Sophie,556270046871159817743764816752259894139616100810633541321310614408537404589604189795818295759107186593832674812668444224381482788230748793837975672661,Safe,1112540093742319635487529633504519788279232201621267082642621228817074809179208379591636591518214373187665349625336888448762965576461497587675951345323,150,183426,2025-08-04 11:26:16 UTC,4ff5d714df99c7155ff7259956af97753bbbb27883c51e5c9f27c469de19785f
Sophie,499634938116432964822989130153249942452303197088299399602910797478670125245570429563206615321206520172690283437730395390119945158546835956352254789013,Safe,999269876232865929645978260306499884904606394176598799205821594957340250491140859126413230642413040345380566875460790780239890317093671912704509578027,150,185754,2025-08-04 11:26:16 UTC,eb2c54287eb112dd19aee2995fab4a8fecea8ff0567e46d305cc3296268742a6
Sophie,147611440944494981692567839428341761826295927550426956104307266517639020579406475949210232219396612085616065845507467803850594222521014398702572412961,Safe,295222881888989963385135678856683523652591855100853912208614533035278041158812951898420464438793224171232131691014935607701188445042028797405144825923,150,191719,2025-08-04 11:26:16 UTC,758067378afe2ec93a4f2e47273506d774ea9df4f7dfa9593bc23149aaa5cefe
Sophie,748777564937490203066814340957585980317450858779179006782092677858404986019831833040201788774935961928160579464189227683102483002556819269866429018073,Safe,1497555129874980406133628681915171960634901717558358013564185355716809972039663666080403577549871923856321158928378455366204966005113638539732858036147,150,194354,2025-08-04 11:26:17 UTC,cab4f16f0625ee6ca10c067a402fe98a30c6734facfd2183d051b5baf86f81a8
Sophie,377661416196591266873122872336267795951660261685246758082709914017547222338963659832942816272807129058469526130668141420281758031105358897874207348521,Safe,755322832393182533746245744672535591903320523370493516165419828035094444677927319665885632545614258116939052261336282840563516062210717795748414697043,150,195351,2025-08-04 11:26:17 UTC,e4b4bffa715e05e23cbebae03c44e06564d062d78e840d4fb923bc931eda101f
Sophie,563589188634122312684277254326608365960377344930568817553585051459940477656761035442013630935617102015934828858954079050651697024099244998124274297063,Safe,1127178377268244625368554508653216731920754689861137635107170102919880955313522070884027261871234204031869657717908158101303394048198489996248548594127,150,196526,2025-08-04 11:26:17 UTC,9eac5202e966599e094564c8f071907c557a6b112d84933365c3194c3c2cd084
Sophie,403926514879573641419460683318118111634297362947418912883597497606472975364608868572671914417783219140531709492881598398537229044893769926011056746641,Safe,807853029759147282838921366636236223268594725894837825767194995212945950729217737145343828835566438281063418985763196797074458089787539852022113493283,150,198416,2025-08-04 11:26:17 UTC,939289f3f9d74c0c31438daf22cf4075e3f6147c27e88f078a36654ba1e0f9b6
Safe,227162633099621508755449978706494918248958746746171090762166567594962595509960826639557832105395787450777456148245278260131321917580376624835784868847,Sophie,113581316549810754377724989353247459124479373373085545381083283797481297754980413319778916052697893725388728074122639130065660958790188312417892434423,150,208021,2025-08-04 11:26:17 UTC,b883a62b768f2956bf7daebd5c4f2fe530ee90b34a6aa44de94c3bc6e028990a
Sophie,178413470537058359570252980438551539802824347198939660554586705616772855247623542576519922851611374944974136279849956410951202920134868687316071499133,Safe,356826941074116719140505960877103079605648694397879321109173411233545710495247085153039845703222749889948272559699912821902405840269737374632142998267,150,208617,2025-08-04 11:26:17 UTC,39de5003140f086df31e3ee1f8c17c1f6baa62a0db95b7846b6c32b445550a8f
Sophie,173141040693880163165244442578872912578915143248200696532037554808604884896861414236571384764774395387636745410563264148497440985748524065600328996033,Safe,346282081387760326330488885157745825157830286496401393064075109617209769793722828473142769529548790775273490821126528296994881971497048131200657992067,150,208277,2025-08-04 11:26:17 UTC,7b0706e967e69b1f4fdfc364441df5cf876bad4a7f56204ba8f000fa04c88d50
Sophie,433614899602443708840631605461913900077641683774775754826153292963096015099914120563979229191379937010310066163737799416381138738833560913145378735589,Safe,867229799204887417681263210923827800155283367549551509652306585926192030199828241127958458382759874020620132327475598832762277477667121826290757471179,150,215679,2025-08-04 11:26:17 UTC,3e66bb4ed4231f4c9555b60bb7462a4046f14c4afc4ff86e26c26cd9693fbd62
